NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
469842;19109205;2003-01;S;ALUMNO CON DEUDA MOROSA;2004-02;2003-01;INGRESO
554721;8113327;2007-01;S;BLOQUEO POR NO INSCRIPCION;2007-01;2007-01;INGRESO
543923;8156569;2002-01;S;ALUMNO EGRESADO;2007-02;2004-01;SEGUNDO AÑO
439584;20068348;2008-02;S;ALUMNO EGRESADO;2020-02;2020-02;10 SEMESTRE - EGRESO
407940;11128029;2002-01;S;BLOQUEO POR NO INSCRIPCION;2002-02;2002-01;INGRESO
518539;18046303;2004-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2005-02;2004-01;INGRESO
578769;6917416;2011-01;N;Sin Bloqueo;2022-02;2022-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
416929;16968895;2002-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2002-01;INGRESO
378904;20956231;2002-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2006-01;SEGUNDO AÑO
571817;4131650;2003-01;S;ALUMNO EGRESADO;2007-02;2005-01;SEGUNDO AÑO
649854;11611532;2002-01;S;BLOQUEO POR NO INSCRIPCION;2003-01;2002-01;INGRESO
556596;25689186;2004-01;S;CAMBIO DE PLAN O CARRERA;2005-02;2005-02;PRIMER AÑO
570701;19706009;2004-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO - EGRESO
618235;22381775;2005-01;N;Sin Bloqueo;2017-01;2017-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
614652;24402046;2003-01;S;ALUMNO CON DEUDA MOROSA;2008-01;2005-01;PRIMER AÑO
487610;10934259;2003-01;N;Sin Bloqueo;2016-02;2016-02;10 SEMESTRE - EGRESO
445105;12580785;2003-01;S;ALUMNO CON DEUDA MOROSA;2003-02;2003-01;INGRESO
480400;22112876;2006-01;S;ALUMNO CON DEUDA MOROSA;2007-01;2006-01;INGRESO
527683;10089569;2005-01;S;CAMBIO DE PLAN O CARRERA;2007-01;2006-01;SEGUNDO AÑO
547771;16105947;2005-01;S;ALUMNO EGRESADO;2008-02;2008-02;QUINTO AÑO - EGRESO
616263;11254161;2013-01;S;ALUMNO LICENCIADO;2016-02;2016-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
576031;16512000;2002-01;S;CAMBIO DE PLAN O CARRERA;2007-02;2005-01;SEGUNDO AÑO
406789;7423324;2002-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO - EGRESO
601160;18921686;2012-02;S;ALUMNO CON DEUDA MOROSA;2012-02;2012-02;INGRESO
521476;21297992;2004-01;S;BLOQUEO POR NO INSCRIPCION;2004-02;2004-01;INGRESO
522890;11404910;2003-01;S;ALUMNO CON DEUDA MOROSA;2004-01;2003-01;INGRESO
594040;21715865;2002-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2008-02;2005-01;PRIMER AÑO
573985;6055978;2012-01;N;Sin Bloqueo;2012-02;2012-01;INGRESO
439493;10768904;2004-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2006-01;PRIMER AÑO
419777;8543213;2004-01;S;BLOQUEO POR NO INSCRIPCION;2008-02;2008-01;INGRESO
519163;11513427;2012-02;N;Sin Bloqueo;2019-02;2019-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
515463;20785999;2003-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2003-01;INGRESO
556337;11524796;2009-02;S;BLOQUEO POR NO INSCRIPCION;2016-02;2016-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
435336;6211444;2009-02;S;ALUMNO CON DEUDA MOROSA;2013-02;2013-02;9 SEMESTRE
489100;10817465;2002-01;S;ALUMNO EGRESADO;2006-01;2004-01;SEGUNDO AÑO
412177;20373027;2021-01;S;SUSPENSION DE ESTUDIOS;2022-01;2022-01;2 SEMESTRE
551951;15946399;2002-01;S;CAMBIO DE PLAN O CARRERA;2008-02;2006-01;SEGUNDO AÑO
581837;13186202;2002-01;S;ALUMNO EGRESADO;-;2009-01;QUINTO AÑO - EGRESO
